                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 2.0392,                 1.1442,                0.95049,                0.45319,                0.37255,                0.30637,                0.11435,                 2.5923,                 1.7682,                 1.1486,              0.0014395,              0.0014395,              0.0014395
                     80,                  2.244,                 1.1853,                0.95034,                0.42788,                0.41176,                0.31702,                0.10566,                 2.6246,                  1.717,                 1.1612,              0.0014564,              0.0014564,              0.0014564
                     81,                 2.2701,                 1.1661,                 0.9557,                0.42788,                0.41176,                0.31702,                0.10566,                 2.6246,                  1.717,                 1.1612,              0.0014733,              0.0014733,              0.0014733
                     82,                  2.113,                 1.2031,                0.93876,                0.56406,                 0.4902,                0.52801,                0.16336,                 2.4137,                 1.5741,                 1.0741,              0.0014901,              0.0014901,              0.0014901
                     83,                 2.0627,                 1.2901,                 0.9211,                0.56406,                 0.4902,                0.52801,                0.16336,                 2.4137,                 1.5741,                 1.0741,              0.0015069,              0.0015069,              0.0015069
                     84,                 2.2463,                 1.3084,                0.91009,                0.59554,                0.46207,                 0.4929,                0.15251,                 2.4826,                 1.6306,                 1.0616,              0.0015236,              0.0015236,              0.0015236
                     85,                 2.1539,                 1.2614,                0.97954,                0.59554,                0.46207,                 0.4929,                0.15251,                 2.4826,                 1.6306,                 1.0616,              0.0015403,              0.0015403,              0.0015403
                     86,                 2.2963,                 1.2356,                0.91909,                0.71231,                0.48558,                0.56898,                 0.1423,                 2.6414,                 1.7253,                 1.0938,              0.0015569,              0.0015569,              0.0015569
                     87,                  2.443,                 1.3349,                0.90017,                0.71231,                0.48558,                0.56898,                 0.1423,                 2.6414,                 1.7253,                 1.0938,              0.0015736,              0.0015736,              0.0015736
                     88,                 2.4855,                 1.3429,                0.96997,                0.72926,                 0.4902,                0.58424,                0.17662,                 2.5488,                 1.7423,                 1.0937,              0.0015901,              0.0015901,              0.0015901
